date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-09-15,sh.600000,6.53063715,6.60230395,6.5216788,6.5575122,31940343,233945046.64,0.1088,0.5495
2022-09-16,sh.600000,6.5395955,6.5575122,6.3962619,6.3962619,33979138,245252583.87,0.1158,-2.459
2022-09-19,sh.600000,6.4141786,6.450012,6.3604285,6.4141786,22388073,160021576.57,0.0763,0.2801
2022-09-20,sh.600000,6.4141786,6.4320953,6.3604285,6.36938685,22247046,158496620.24,0.0758,-0.6983
2022-09-21,sh.600000,6.3604285,6.4141786,6.3425118,6.38730355,20026161,142605615.88,0.0682,0.2813
2022-09-22,sh.600000,6.36938685,6.3962619,6.3425118,6.3783452,19540404,138786681.54,0.0666,-0.1403
2022-09-23,sh.600000,6.3783452,6.4320953,6.35147015,6.4141786,21806262,155805817.23,0.0743,0.5618
2022-09-26,sh.600000,6.3783452,6.42313695,6.31563675,6.3245951,29503476,209607846.66,0.1005,-1.3966
2022-09-27,sh.600000,6.3066784,6.35147015,6.2887617,6.33355345,20128163,142035077.23,0.0686,0.1416
2022-09-28,sh.600000,6.31563675,6.3783452,6.2887617,6.3425118,25197590,178257967.49,0.0858,0.1414
2022-09-29,sh.600000,6.36938685,6.38730355,6.22605325,6.26188665,37072647,260386962.1,0.1263,-1.2712
2022-09-30,sh.600000,6.2887617,6.33355345,6.26188665,6.3066784,21572691,151907573.39,0.0735,0.7153
2022-10-10,sh.600000,6.3066784,6.35147015,6.27980335,6.29772005,20028296,141308416.0,0.0682,-0.142
2022-10-11,sh.600000,6.33355345,6.3425118,6.270845,6.27980335,18613647,130804312.03,0.0634,-0.2845
2022-10-12,sh.600000,6.27980335,6.31563675,6.2350116,6.31563675,20354488,142570655.09,0.0693,0.5706
2022-10-13,sh.600000,6.29772005,6.3066784,6.24396995,6.270845,24107256,168676264.32,0.0821,-0.7092
2022-10-14,sh.600000,6.29772005,6.33355345,6.27980335,6.29772005,27342763,192757732.67,0.0932,0.4286
2022-10-17,sh.600000,6.31563675,6.31563675,6.270845,6.2887617,20616536,144892075.77,0.0702,-0.1422
2022-10-18,sh.600000,6.3066784,6.3245951,6.27980335,6.2887617,21908675,154099279.62,0.0746,0.0
2022-10-19,sh.600000,6.2887617,6.3066784,6.24396995,6.24396995,17988215,125873057.67,0.0613,-0.7123
2022-10-20,sh.600000,6.24396995,6.270845,6.2350116,6.24396995,19765093,137810612.94,0.0673,0.0
2022-10-21,sh.600000,6.26188665,6.2887617,6.19021985,6.1991782,24567888,170868902.53,0.0837,-0.7174
2022-10-24,sh.600000,6.20813655,6.2170949,6.091678,6.10063635,38610105,265091387.62,0.1315,-1.5896
2022-10-25,sh.600000,6.1633448,6.1633448,6.091678,6.1275114,26539881,181269047.48,0.0904,0.4405
2022-10-26,sh.600000,6.11855305,6.1454281,6.091678,6.1095947,20377311,139135071.24,0.0694,-0.2924
2022-10-27,sh.600000,6.11855305,6.15438645,6.10063635,6.1095947,21293652,145765770.23,0.0725,0.0
2022-10-28,sh.600000,6.1275114,6.15438645,6.04688625,6.091678,28234295,192577659.87,0.0962,-0.2933
2022-10-31,sh.600000,6.02896955,6.04688625,5.93938605,5.9483444,32237373,215102267.57,0.1098,-2.3529
2022-11-01,sh.600000,5.9841778,6.0379279,5.95730275,6.0379279,27035074,181314549.45,0.0921,1.506
2022-11-02,sh.600000,6.0020945,6.0379279,5.9662611,6.01105285,24034116,160891463.49,0.0819,-0.4451
2022-11-03,sh.600000,6.01105285,6.01105285,5.9483444,5.9662611,21251911,141624735.14,0.0724,-0.7452
2022-11-04,sh.600000,5.95730275,6.091678,5.9483444,6.08271965,32665677,220460181.12,0.1113,1.952
